endTime,msPlayed,id
2019-04-20 02:11:00+00:00,142517,0ePV5nJT0v9wFHjKvt9fNV
2019-04-20 07:10:00+00:00,49984,0ePV5nJT0v9wFHjKvt9fNV
2019-04-20 07:13:00+00:00,160941,6v6M86Yf6P5xWN7OjHETzh
2019-04-20 07:15:00+00:00,155080,5y8Yvxc2Y1gIBSQCwlSh0p
2019-04-20 07:19:00+00:00,200000,3omc4d57k3eQEMVt2WnsLr
2019-04-20 07:22:00+00:00,215315,3y3brCCecHC3Db18aIOnny
2019-04-20 07:23:00+00:00,23975,5zXmmhtXrhDbYnScaYpqZg
2019-04-20 07:26:00+00:00,228658,6BzTAVtYRHbEx6gQ1yMwZJ
2019-04-20 07:27:00+00:00,47030,3XWDLEmXZccXCb4XcxJEnG
2019-04-20 07:27:00+00:00,5005,52TjUfqxgK2k4vfcyHXnp2
2019-04-20 07:31:00+00:00,13061,0JIcWmxwEpv740agHLbVB5
2019-04-20 07:31:00+00:00,201777,6NNthW6avpfVJYb6tAPm8C
2019-04-20 07:35:00+00:00,248303,3bybDJuPjIcikzsiE5y9Uu
2019-04-20 07:36:00+00:00,52247,78W8Cbr0BuGMO5gnqrcwQO
2019-04-20 07:40:00+00:00,219940,0x66nbDEEZtWx4qJdILucR
2019-04-20 16:30:00+00:00,1187,0x66nbDEEZtWx4qJdILucR
2019-04-20 16:33:00+00:00,188346,25FAIsGzBQ4nOHglPi6NWY
2019-04-20 16:37:00+00:00,238367,42VQzGCl4eX5lfn6pgVYH8
2019-04-20 16:41:00+00:00,207493,5j0oqJkeHoXjtPCgz9hMmd
2019-04-20 16:43:00+00:00,176000,0j05vXv8kjUAg0rlhTvXCJ
2019-04-20 16:46:00+00:00,157411,1vLF6H3BbDGvGMjTUOVew0
2019-04-20 16:49:00+00:00,200946,7BLnPBOgAXuzwsdQ1qj4Xu
2019-04-20 16:52:00+00:00,171265,07ItHaicl1DVEf0AMaP6KM
2019-04-20 16:56:00+00:00,240757,60y3oBiHHIlOzUFZRWP6Ak
2019-04-20 17:28:00+00:00,166161,6kr32AlGspfKtHjVhaAMFo
2019-04-20 22:45:00+00:00,5874,0wgN9sxZ6m6aouMtK8PzMY
2019-04-20 22:45:00+00:00,38391,6kr32AlGspfKtHjVhaAMFo
2019-04-20 22:47:00+00:00,1959,0wgN9sxZ6m6aouMtK8PzMY
2019-04-20 22:47:00+00:00,124147,7bICD0oRoc9wdUvNils2T6
2019-04-20 23:19:00+00:00,4715,6kr32AlGspfKtHjVhaAMFo
2019-04-21 00:07:00+00:00,654,0wgN9sxZ6m6aouMtK8PzMY
2019-04-21 00:10:00+00:00,201600,7bICD0oRoc9wdUvNils2T6
2019-04-21 00:14:00+00:00,31152,2VDTgXwf3F6kcpX4HI0BKy
2019-04-21 00:14:00+00:00,211266,4cbdPT6uaBOgOQe3fLMofl
2019-04-21 00:17:00+00:00,170844,451mRErbGwCB9qVNFwTbBV
2019-04-21 00:21:00+00:00,199716,6aInoLEiO1VfXPHxv8RvGP
2019-04-21 00:25:00+00:00,201072,4PkIDTPGedm0enzdvilLNd
2019-04-21 00:28:00+00:00,192500,0ePV5nJT0v9wFHjKvt9fNV
2019-04-21 00:28:00+00:00,1526,561F1zqRwGPCTMRsLsXVtL
2019-04-21 00:28:00+00:00,17570,6v6M86Yf6P5xWN7OjHETzh
2019-04-21 00:29:00+00:00,79981,04T52xcTXiBdaO8eoqvfGV
2019-04-21 00:33:00+00:00,218048,7HaqouVsOwbcaiMzplfkz1
2019-04-21 00:38:00+00:00,284968,2UJK0Wirinamqv7wAa9t10
2019-04-21 00:43:00+00:00,320680,1eQBEelI2NCy7AUTerX0KS
2019-04-21 00:43:00+00:00,4724,4OrLnFkB5Ebct9HNT5xU2i
2019-04-21 00:47:00+00:00,219253,3DuPCQpHDSDvbdKUXwoeWO
2019-04-21 00:51:00+00:00,260280,7ptSTFAis4UckLAfUrMfM0
2019-04-21 00:52:00+00:00,31408,6Cpcf5MKT7O04wlSJ7EixQ
2019-04-21 00:56:00+00:00,27727,5OHXuPMH7X56TUcAJGUfu4
2019-04-21 00:56:00+00:00,233739,74R4tYIQIn0slsnvqSCJRK
2019-04-21 03:12:00+00:00,238367,42VQzGCl4eX5lfn6pgVYH8
2019-04-21 03:16:00+00:00,257924,3TgKfqiC5kuKs9FndVb2Va
2019-04-21 03:19:00+00:00,164409,68VF57hN9UYJeTNlQXfoYE
2019-04-21 03:23:00+00:00,224000,2U2aOnNfsaMXXU57F2QyAI
2019-04-21 03:27:00+00:00,280125,64UQKc7huxeIY227ELVYMp
2019-04-21 03:31:00+00:00,203455,46gOdjm8GkPdk8KWsau5Ub
2019-04-21 03:32:00+00:00,98557,6olv47zfe8NsxE2rS8CQtT
2019-04-21 03:37:00+00:00,259636,7MuZ93ufFKl2d9vZQVIylB
2019-04-21 03:39:00+00:00,157411,1vLF6H3BbDGvGMjTUOVew0
2019-04-21 03:43:00+00:00,201776,6NNthW6avpfVJYb6tAPm8C
2019-04-21 04:11:00+00:00,217846,0yxqE17S8mauxiv10mMVS0
2019-04-21 04:13:00+00:00,169714,5lxbT5EOxhX0wPpGR1oTjW
2019-04-21 04:17:00+00:00,189000,7poFvf2MUqZbBggCjj4aOK
2019-04-21 04:21:00+00:00,267310,4N8YnMrpHsxkZzvAeV5iCY
2019-04-21 04:28:00+00:00,400776,6NNthW6avpfVJYb6tAPm8C
2019-04-21 04:30:00+00:00,160941,6v6M86Yf6P5xWN7OjHETzh
2019-04-21 04:33:00+00:00,152446,5ZH0Clyfb8ynYUyYjGTSZK
2019-04-21 04:36:00+00:00,203389,6kr32AlGspfKtHjVhaAMFo
2019-04-21 04:40:00+00:00,201600,7bICD0oRoc9wdUvNils2T6
2019-04-21 04:44:00+00:00,248946,3mScGCzxiXA9OaHdBeuk7O
2019-04-21 04:47:00+00:00,201776,6NNthW6avpfVJYb6tAPm8C
2019-04-21 04:50:00+00:00,185217,0EzRCBc9i9j21FLpcld0r4
2019-04-21 04:53:00+00:00,172453,4dwdxq3F1W4BqyrJYruYL8
2019-04-21 04:57:00+00:00,214226,3H9CQYRjYS2bixQXoawh98
2019-04-21 05:55:00+00:00,188643,4ToogKQq58R9TvO40qRuxi
2019-04-21 05:56:00+00:00,43795,5OHXuPMH7X56TUcAJGUfu4
2019-04-21 06:02:00+00:00,396970,6NNthW6avpfVJYb6tAPm8C
2019-04-21 06:02:00+00:00,0,74wHqDbloTZMMUjdJ7aBW5
2019-04-21 06:06:00+00:00,10641,1b7E37BQouTJc7nf1HbIar
2019-04-21 06:06:00+00:00,9385,6NNthW6avpfVJYb6tAPm8C
2019-04-21 06:06:00+00:00,201777,6NNthW6avpfVJYb6tAPm8C
2019-04-21 06:06:00+00:00,3061,74wHqDbloTZMMUjdJ7aBW5
2019-04-21 06:09:00+00:00,201777,6NNthW6avpfVJYb6tAPm8C
2019-04-21 06:12:00+00:00,156321,6QQmEwdiN1iWgnJrlfGSGC
2019-04-21 07:27:00+00:00,54140,6QQmEwdiN1iWgnJrlfGSGC
2019-04-21 07:29:00+00:00,152440,0RFtfDNcqm0wAJvyNuYar3
