id,name,album_id,album_name,artists,duration_ms,popularity
6EFBx1HxEPtYhf0TO4hNcj,Anaesthetic,2vVL2OS6MxknRBzCyvBOYe,Argonaut EP,{'0VQKssIfRKfSd7IfW3JIP1': 'Thomston'},261072,33
4lLTcW4KK2lfP6SzpZSQ9h,Lightweight,53QtdAvZoMZrfwNxqMmBqO,Lightweight,{'0VQKssIfRKfSd7IfW3JIP1': 'Thomston'},190400,40
7eJja8Vmb4TAj46iq283dV,Unknown Track,4cilxJ0KxbAv5nymwkeGis,Unknown Galaxy,{'6EjOtfXeA8GoZjrC5aVzjP': 'An Unknown Artist'},475559,9
3D37T7euWvVJ45evRmriIh,Better With You,4CoLHunP23dUcORSP1Nfzb,Better With You,"{'4YLQaW1UU3mrVetC8gNkg5': '3LAU', '1NyxTiCivDmzgFWYD1V01m': 'Justin Caruso', '3rjHIPFed2qITXAWvArRtp': 'Iselin'}",192941,64
48wEohztw5FeQboMzIb2LB,Anyone Out There,4JKu6hd02jGKT7yDEZ0eMG,Anyone Out There,{'3rjHIPFed2qITXAWvArRtp': 'Iselin'},235618,18
1f6sBdxffdtzsYwJTeHWr1,ドレス,4jtDDGKd9TTA7JZVOQVbiU,darker than darkness style 93,{'2DiecQcRbDuSJuSPKtirrX': 'BUCK-TICK'},381200,37
4DiooRSZlf7wyobycTo3eF,Mind - Tomggg Remix,69EDxyXMUrcN8yMx3Ti7k0,Mind (Tomggg Remix),"{'3htNAy3vYWWYV8RZFeyRMT': 'Slow Magic', '6puqyrpoPdFNxDJ8KPy2pE': 'Kate Boy', '4IB2TdHMteDOTMAA1UbbcE': 'Tomggg'}",189252,26
33NeF2YDygWGk30EOEYxj0,1%,0vxEzoAySxYRzzhLfvW99p,1%,{'4u5smJBskI6Adzv08PuiUP': 'Kiiara'},223465,36
55A1iKpbxqNeYzFloByOwJ,You're Not Alone (feat. Kiiara) - Don Diablo VIP Mix,6iwr8MKqAciISb6E29HNnv,You're Not Alone (feat. Kiiara) [Don Diablo VIP Mix],"{'1l2ekx5skC4gJH8djERwh1': 'Don Diablo', '4u5smJBskI6Adzv08PuiUP': 'Kiiara'}",191454,32
6GD9qEZJu5TySBu5VR1V5z,Better - Orchestral Performance,0h8trjzHlCH8nglrsNPurO,"Bunker Studios Sessions, Brooklyn, NY","{'1Fr6agZ6iSM5Ynn2k4C8sc': 'VÉRITÉ', '4l8UYHbQb1jHjm7evMT1Oe': 'Little Kruta'}",225900,14
0O8YMwF6fUty67k61XN9W7,Escape My Mind,55LUvkPPMUgwQVmypS3Wex,Just The Beginning,{'3YdT8QvV4QvY4DfVJhxdcZ': 'Grace VanderWaal'},196306,50
2sKTYRCgUHXmIhI2hoBuZE,When I Get There,0IQn4dKzcsFw1N0Xne5R6x,Invincible EP,{'0PxzGnCYBpSuaI49OR94cA': 'Big Wild'},220000,62
1Dr5JexwA15wmKe7Y7maA9,Past Lives,17l7MIu0Jh0tdgK7or9ovw,Dopamine,{'1KP6TWI40m7p3QBTU6u2xo': 'BØRNS'},274320,62
3rchbdfMJ48si8MqFRs6wP,You're Mine,0NQ6Dn9si4mgFKoRoBGkn8,Three,{'1l9d7B8W0IHy3LqWsxP2SH': 'Phantogram'},171053,49
0eeKPPnYhpEZPWzMpYN5bl,Cherry,2w8WfnamQbPHnopnZMcVrp,Found Footage,{'4MD0pIPxvGvPdohFuEkCua': 'Take/Five'},195317,51
2tk7Ss2XmoafVuzg16OSjP,The Machine,3Us7bSYkNdWC807q17902e,The Machine,{'4MD0pIPxvGvPdohFuEkCua': 'Take/Five'},116874,39
6PNP5wFnQQl2nlMfBMaxCt,Found Footage,2w8WfnamQbPHnopnZMcVrp,Found Footage,{'4MD0pIPxvGvPdohFuEkCua': 'Take/Five'},56946,42
4eBpuvZM5We9igTYqR7YYp,Sweet Talk (Cavego Remix) [feat. Cavego],7zMH0i8ixbneGnBn285ocn,Shapes and Outlines (Remixes),"{'2CJw5Z0VmlBMrS1J1dtG9Z': 'Scavenger Hunt', '5mF9jb0at58HIWigwZCuQx': 'Cavego'}",276250,16
60eh7a4rR27jjYidfbDqAS,flood on the floor,4ymjpcGruNuUUUZOeGawLe,another eternity,{'1TtJ8j22Roc24e2Jx3OcU4': 'Purity Ring'},194659,42
2tHfNQnj50VoMZga2rpfdA,What If I Go? (feat. Bonzai),0NBTBo1qrg554sAj79nEqD,Mura Masa,"{'5Q81rlcTFh3k6DQJXPdsot': 'Mura Masa', '5BydzSmKBIh8HkWFwx4Rrg': 'Bonzai'}",195466,60
5jOQ5v49S1h496AiNlk682,Plans,37ABUtLPqktcopsBJ7jmXT,Oh Wonder,{'5cIc3SBFuBLVxJz58W2tU9': 'Oh Wonder'},235671,50
6Iy4GoIhurg643td7oQ3pY,Don't Know Why,31fppGlFqvMmmoyhIeRpaz,Don't Know Why,"{'7ypPN35cJ9wfF2Zs7aYS33': 'Dillistone', '2c2f3EwgqkZrKmbJtg3P83': 'LILI N'}",192500,15
79MZ8lNNlXWPyNz3TOLhre,Phases,18xXCs9miTxrWtmOmFGy7t,Preach,"{'1kmyK4B8GpPz1nHI2MvOSO': 'ANH', '5XTn5Az9AcSKu0oaauC5ES': 'quickly, quickly', '4eSmFyK9qaLBUuDpFfli0X': 'Yugi Boi', '5PcwbyuOX1pnaeVYatEEB2': 'Dilip'}",249841,23
6aJgFtTvi4ofwUapCgF143,Saint - Tigertown Remix,0TFxN05MnuwMkv1ugLNT3T,Somewhere in Between (The Remixes),"{'1Fr6agZ6iSM5Ynn2k4C8sc': 'VÉRITÉ', '35qLEcmYiuYpOMDuAO8BYh': 'Tigertown'}",219168,20
71BjNbH3mZfx9uylyHY77Y,Slow (feat. Madi),53RJNezXoAnlxz3JC5NBnO,Slow (feat. Madi),"{'1qskAseW7apRxJBpYAO9Yk': 'Felix Snow', '5KtyvSnzn6NcqukCOsjfe0': 'Madi'}",208333,30
5imUTBF35uIoABlV9g9da2,Fall In Love,2R2Cwe4kI8b2WObXZ90wOC,Voices,{'1l9d7B8W0IHy3LqWsxP2SH': 'Phantogram'},223226,52
5V57xQy85vOFWVUoNLUwDK,Beautiful Life,6VpEstOa2ozmnluERNsD2W,Beautiful Life,"{'4aCkc4HrwC4Dopig7RELoH': 'Kidswaste', '7AOCUMe3rKW4o3uADBNwVy': 'Sophie Simmons'}",228543,46
7BKLqVHj1Kd13KQbvPbgLW,Mei Mode,2cwHMV0ucYl23OYQVokwps,Steel Mogu,{'7LCDnUQYE07fnKbo46SVLB': 'Iglooghost'},196446,23
6UXFRIjG9OSEmGtz76Atsf,Sleeping Pills,5ipxIewuwCeov22nBYrPUj,Sleeping Pills,"{'4aCkc4HrwC4Dopig7RELoH': 'Kidswaste', '7qie8FfXQTHp0azRKySWd8': 'KOLE'}",231938,37
7n0wEgykBLc5nlkB0g6mJo,Blur My Hands (feat. Guy Sebastian),7F58zK8t8whSFjX5X09d28,Tetsuo & Youth,"{'01QTIT5P1pFP3QnnFSdsJf': 'Lupe Fiasco', '5PjekOABtfU2Kwo0AHVmci': 'Guy Sebastian'}",327586,38
3kywzyEr7V106Un5cDyh12,Older,7qUpf1A0w5hh4Do5SLRYjP,Loser,{'4xnihxcoXWK3UqryOSnbw5': 'Sasha Sloan'},184892,67
3dBE30R12dDxc1jBDaqmo3,Psychopath - Recorded at Spotify Studios NYC,33zW0KIUcungtxX9ZB22g7,Spotify Singles,"{'7LImGq5KnzQobZciDJpeJb': 'Charlotte Lawrence', '7AzjETXRUKNRSJHMW9GIqd': 'Nina Nesbitt', '4xnihxcoXWK3UqryOSnbw5': 'Sasha Sloan'}",175203,58
2olyfHW5Sn7LnIQlxjTZdU,The Only,7qUpf1A0w5hh4Do5SLRYjP,Loser,{'4xnihxcoXWK3UqryOSnbw5': 'Sasha Sloan'},213959,54
7Ko8FMiNwGeAJNG0zdYMGD,Electric Feel,4bE9FaX9XmE0AMiSbZBA0D,Electric Feel,{'2JcWOIfDeHESCg42COyDy1': 'CLAVVS'},237600,32
3aFxfpfeATHYg1n750dhgq,Remember (with ZOHARA),2IAVHJdaRPFA6MQqXHoG75,Gravity,"{'2ZRQcIgzPCVaT9XKhXZIzh': 'Gryffin', '2JfoFQs5wPHgLz8wnJ4wL2': 'ZOHARA'}",221129,65
78fSdYIkMuQ7ByfOPm3Dxl,Only Look At Me (나만 바라봐),4dIF6Vltkz4sOt0nOVQtDL,Solar International,{'6udveWUgX4vu75FF0DTrXV': 'TAEYANG'},240920,47
67bVDuhVNpGahHOJGsv8BQ,You and I (Park Bom),35M71S29eZpJgGh2G7uzw4,To Anyone,{'1l0mKo96Jh9HVYONcRl3Yp': '2NE1'},234320,50
1CVQ8euBNROz7KDPeNqwWE,Bitch,2vRvnMqmqw8DUpUEVEynXt,Collxtion I,{'0wnYgCeP013HkKoOyC5V32': 'Allie X'},207301,61
3i18dmoH6qfcfFG7ctRlFL,Out Of My Heart,0QQgDR6avcLN9s5fwdSrDc,Into Your Head,{'7y1GT7SdgGiFLWoktv2TSw': 'BBMAK'},243786,31
11YADEIR4ewoPpZe4zkzyr,End Of The Road,6EW9gDoN6hNOufyHdHUuPs,End Of The Road,{'4loap7SYpi11OpsZKnynZj': 'Dani Sylvia'},255000,5
4sQwvrXaTOv4WcJ6pQQQsv,Hotel Room,2Ix6kw5gy904vtEZNorIZe,Bring the Chemicals,{'4loap7SYpi11OpsZKnynZj': 'Dani Sylvia'},278000,7
4mfIwjsMW79kDyA8UKLms5,Tony (feat. Nipsey Hussle),3fdXkWtWuhFwmkvNWxRe7N,Tony (feat. Nipsey Hussle),"{'0rQ0WMIrOt6MzfiGaNWh3D': 'LOUDPVCK', '52WRqPvNH56oIYVuXHPepz': 'Gladiator', '0EeQBlQJFiAfJeVN2vT9s0': 'Nipsey Hussle'}",263687,3
63Ly2sEzloc9s0yAXlMi6r,Warm Water - Snakehips Remix,41xJklJV7uqDzg9teggeR6,Warm Water (Snakehips Remix),"{'2xe8IXgCTpwHE3eA9hTs4n': 'BANKS', '2FwJwEswyIUAljqgjNSHgP': 'Snakehips'}",253584,57
